publishedAt,authorDisplayName,comment,likeCount
2023-05-08T16:14:14Z,Anak Comel,Lembaga Survey....?  Tanda tanya besar..,0
2023-05-08T16:08:08Z,Erick kurniawan Kurniawan,Ganjar melejit<br>Anis menjerit pecirit,0
2023-05-08T16:01:57Z,Zainul Muhlisin,TGB Panutan semua rakyat. <br>Bersama TGB Indonesia maju.,0
2023-05-08T15:41:06Z,Tedi Tedi,"Surfey yang baik,ada d tps",0
2023-05-08T15:17:56Z,Japung 498,Anis 🤭,0
2023-05-08T15:17:13Z,Adman Ns,Saya adman asal kota sampit warga trasmigrasi  parnggen kalsel dgn jumlah warga 776 kk di tambah wargatrasmigrasi sangai dgn jumlah wrga 657 orang siap mendukung dan siap memilih pa prabowo 2024,0
2023-05-08T15:10:46Z,Fadholi Kastawi,Mulutnya Metro sekarang sudah mulai nyinyir pada jokowi.... Mulai ketularan barisan sakit hati...,0
2023-05-08T15:10:40Z,Lagion Zachawerus,Zarky itu menurut anda omong kosong siapa yang memilih ahy nanti terulang lagi pembangunan mangkrak,0
2023-05-08T14:53:27Z,Sarmudi Sarmudi,"Rakyat itu ingin pemimpin yg tidak mempersulit kebutuhan Rakyat contoh mempersulit Rakyat  1 membeli bbm pakai aplikasi<br>        2 membeli gas pakai aplikasi,<br> Kami itu rakyat pengin pelayanan yg cepat, bukan di perlambat ,",0
2023-05-08T14:46:28Z,Januar Rajani,Kog pak Mahfud MD ga di masukin survey wapres??,0
2023-05-08T14:42:41Z,Mahfudz Ansor,Gak percoyo blas sama survei bayaran. Anis is the best dlm segala sisi.,0
2023-05-08T14:36:29Z,Ramli yewang,Setiap survei selalu urutan 3.😁😁😁,0
2023-05-08T13:56:22Z,Muhammad Filtar Filtar,"Jika Prabowo dan Anies gabung mk pilpres sdh selesai Prabowo Anies menang telak krn jika dijumlah menjadi 55% , maka Ganjar hny 35 %  mk benar Ade Armando bhw PDIP hrs hati hati.",0
2023-05-08T13:48:49Z,edi supriadi,"Gua gak petcaya survai<br>Lebih petcaya poliing<br>Buktinya rezim sangat ketakutan Anis menang...<br>Kalo survai otentik.<br>,? Kenapa rezim sibuk utk bloking anis",0
2023-05-08T13:15:56Z,Misnen Jebrod,Prabowo ganjar👍👍👍,0
2023-05-08T12:58:31Z,aris abidin,Metro kan punya Rezim sekarang? Ya jelas? Unggul merah?,0
2023-05-08T12:46:39Z,Rapi Afrizal,Ya Allah semoga Prabowo naik 2024🙏😇,0
2023-05-08T12:38:30Z,Andre Cebong,Polling ILC &amp; CNBC untuk Anies dpt vote 65℅. Untuk Gp yaaa brp y? Kgk tega gw,0
2023-05-08T12:34:07Z,cireng,"Walaupun Bagaimana Lembaga Survei itu Teori, Buktinya saat Pak Jokowi Berasangan dg Ma&#39;ruf Amin yg Nota Bene Mengecewakan Rakyat karena Menggeser Pak Mahfud MD, tetap aja menang.<br>Setujunya Ganjar -- Mahfud",0
2023-05-08T12:26:54Z,cireng,Ganjar itu Elektabilitasnya Tdk Akan  Bisa di Bendung......,1
2023-05-08T12:17:59Z,Lianto Lianto,Saya Cuma Percaya LSI Yang Lain No !!!,0
2023-05-08T12:11:20Z,Buzarman Buzarman,Kami tetap Pak Prabowo jadi presiden RI 2024.,0
2023-05-08T11:53:26Z,Rangga Geni,Muhaimin gak bakal jadi,0
2023-05-08T11:35:33Z,Suhardi Harahap,Menurut saya khopipah sudah lama terjun di partai politik mulai mantan presiden gusdur,0
2023-05-08T11:27:27Z,Herni Rohaeni,Kenapasih masih saja buat surfai abal2 dan kenapa kalo surfai itu benar rezim takut sama Anies kan surfainya Anies kalah sama calon yg di gadang&quot; rezem...???,1
2023-05-08T11:17:31Z,boba milk sakura,Anies Baswedan 88 %<br>Ganjar Pranowo 5%<br>Prabowo Subianto 6 %<br>jadi bagi pendukung pak Anies Baswedan jangan lah percaya survei bayaran...,0
2023-05-08T11:15:55Z,Lukman Zlatan,Jagoan nya terus no 3 apa  gk pusing bos.....,0
2023-05-08T10:56:24Z,Alam Alam,"USIR ANIS,,INDO TIMUR DUKUNG CANJR &amp;  PRABOWO,ANIS HANCURKAN",0
2023-05-08T10:52:41Z,Alip Oktamahliza,"Jangan percaya kepada LSI,karena LSI cari duut",0
2023-05-08T10:51:38Z,nunomedia,survey bisa di beli😂😂😂😂,0
2023-05-08T10:50:58Z,Alip Oktamahliza,Ke unggulan Ganjar pasti di bayar,0
2023-05-08T10:20:05Z,Abdullah Sulaiman,"Ini hasil survei abal-abal, masyarakat jangan percaya.",0
2023-05-08T10:08:27Z,Pak De,Anis memang tetap konsisten..di urutan ketiga,0
2023-05-08T09:23:21Z,Bakso Solo,P.anis surveinya masih rendah tapi kenapa kok semua takuk...,0
2023-05-08T09:03:10Z,Satriyo Satriyo,Pk muhaimin kelihatanya gk ada nama di daerah.lebih bagusan gus yaqut,0
2023-05-08T08:58:15Z,Anita Ananda,"Sampelnya sureynya berapa orang, lokasi surveynya jangan2 cuma wilayah kota semarang😁😁",0
